epoch,loss,mae,val_loss,val_mae
0,0.525711047,0.392013717,0.194134278,0.141685968
1,0.163776634,0.119316958,0.142675087,0.10303431
2,0.135198511,0.098906275,0.131240781,0.095984729
3,0.121916005,0.089301813,0.114496284,0.085427699
4,0.113022299,0.083358798,0.10628923,0.078770061
5,0.107883936,0.079134924,0.102779498,0.075508956
6,0.103638919,0.075838537,0.100692661,0.074209881
7,0.100133639,0.072927856,0.095056186,0.06925131
8,0.095722917,0.070659825,0.091773085,0.068594415
9,0.091020696,0.067838192,0.089524952,0.066709596
10,0.088704779,0.066203609,0.086313401,0.064637202
11,0.08577218,0.06415417,0.085400266,0.064136478
12,0.084163054,0.062876928,0.083077529,0.062386514
13,0.082596594,0.061676039,0.082844063,0.062248257
14,0.081168631,0.060538886,0.081086042,0.060857952
15,0.079879894,0.059532714,0.079769589,0.060034121
16,0.078547967,0.058447283,0.077381591,0.057781659
17,0.077266903,0.05747791,0.076789678,0.057527043
18,0.076247265,0.056692064,0.074197413,0.05518001
19,0.07551664,0.056171809,0.0738071,0.055078485
20,0.074573288,0.055374904,0.073862448,0.055029638
21,0.073607313,0.054644078,0.072387134,0.054140423
22,0.072495149,0.053943374,0.070868636,0.052964575
23,0.071706196,0.053328374,0.069426607,0.051872039
24,0.07110603,0.052823728,0.069513303,0.05181879
25,0.070920656,0.052739154,0.071289687,0.053375683
26,0.069877852,0.051885454,0.071381299,0.053509066
27,0.070581755,0.052457088,0.069255895,0.051702588
28,0.069096987,0.051541504,0.066532317,0.049844395
29,0.069172767,0.051694073,0.070863041,0.052996214
30,0.069985357,0.052247998,0.078176838,0.058847355
31,0.070443821,0.052616861,0.075127643,0.056207396
32,0.070706727,0.052827083,0.076535306,0.057845584
33,0.070807732,0.052894858,0.074019967,0.055706256
34,0.070226438,0.052497458,0.078205918,0.059157902
35,0.071275976,0.053320316,0.076571042,0.057478841
36,0.071499246,0.05347489,0.076174041,0.057432084
37,0.071657339,0.053525058,0.078135758,0.058880779
38,0.07220175,0.053968084,0.071905825,0.054253434
39,0.073235014,0.054912586,0.077278255,0.058133128
40,0.072875007,0.055137038,0.089198444,0.068716335
41,0.074491652,0.056711152,0.077209227,0.059236131
42,0.073320853,0.055957447,0.082836621,0.063924026
43,0.076089671,0.05814333,0.087828996,0.06765728
44,0.077146159,0.058771851,0.090133046,0.069651817
45,0.078877847,0.06015846,0.086075176,0.066784955
46,0.082131518,0.06274136,0.094216678,0.073271917
47,0.082697792,0.063158186,0.095553383,0.07398785
48,0.083505526,0.063894288,0.091818057,0.070953331
49,0.085247337,0.065246982,0.095852786,0.074330325
50,0.086782802,0.066482465,0.097214463,0.076016631
51,0.089646082,0.06908368,0.095700703,0.075193402
52,0.091782792,0.070611465,0.10473056,0.081354962
53,0.097308699,0.07493476,0.120138786,0.093777028
54,0.10320675,0.079698437,0.119672823,0.093469589
55,0.107039697,0.082514972,0.125329878,0.097647371
56,0.10881754,0.084034251,0.128115727,0.09964098
57,0.113133694,0.087511477,0.136549093,0.106624387
58,0.115417237,0.089286981,0.150524086,0.118158483
59,0.118726925,0.091703376,0.147348401,0.11517833
60,0.121716893,0.094004836,0.152068255,0.119101359
61,0.125368202,0.096688904,0.153440123,0.1197092
62,0.129540304,0.09995346,0.156780685,0.122619997
63,0.133063959,0.103070419,0.159275106,0.125088294
64,0.13911565,0.108010954,0.166400456,0.130284832
65,0.142051286,0.110304865,0.168643285,0.131978104
66,0.145744383,0.113246434,0.178049806,0.139183653
67,0.150882967,0.117341596,0.179796452,0.141285373
68,0.154755515,0.120189796,0.18641371,0.14596752
69,0.159826419,0.123856889,0.190626968,0.148857727
70,0.162850508,0.12638175,0.197719785,0.155204636
71,0.167421067,0.129994735,0.198712012,0.156047568
72,0.16986805,0.131834174,0.200326832,0.156412098
73,0.17390991,0.13498959,0.19910584,0.15575521
74,0.1769317,0.137346848,0.211756879,0.166134832
75,0.183083906,0.142056989,0.216544935,0.1689786
76,0.188429125,0.146304326,0.217745925,0.169603805
77,0.192103322,0.149230944,0.224364842,0.175459546
78,0.19804336,0.153818396,0.228955809,0.179027507
